_shift,_hour_raw,total,ok,ng,ok_ng_sum,empty_judge,blank_judge,other_judge
夜勤,23:20,41561,12986,6,12992,28569,28569,0.0
夜勤,21:20,39265,12139,0,12139,27126,27126,0.0
夜勤,22:20,37681,11676,1,11677,26004,26004,0.0
昼勤,11:20,37506,11558,1,11559,25947,25947,0.0
昼勤,14:10,36104,11204,3,11207,24897,24897,0.0
昼勤,16:20,35456,11021,6,11027,24429,24429,0.0
昼勤,15:20,34951,10850,3,10853,24098,24098,0.0
昼勤,18:20,34864,10826,3,10829,24035,24035,0.0
昼勤,10:20,34822,10850,2,10852,23970,23970,0.0
昼勤,17:20,34687,10661,2,10663,24024,24024,0.0
夜勤,03:20,34477,10623,2,10625,23852,23852,0.0
夜勤,04:20,32683,10081,0,10081,22602,22602,0.0
昼勤,13:10,31507,9736,4,9740,21767,21767,0.0
夜勤,20:20,30114,9302,0,9302,20812,20812,0.0
夜勤,02:20,29340,9004,5,9009,20331,20331,0.0
夜勤,05:20,26884,8310,3,8313,18571,18571,0.0
夜勤,01:20,22007,6669,3,6672,15335,15335,0.0
昼勤,19:20,20232,6225,4,6229,14003,14003,0.0
昼勤,09:20,17173,5277,1,5278,11895,11895,0.0
夜勤,5:20,8691,2820,0,2820,5871,5871,0.0
夜勤,3:20,8283,2695,0,2695,5588,5588,0.0
夜勤,2:20,8069,2586,0,2586,5483,5483,0.0
夜勤,4:20,7891,2542,1,2543,5348,5348,0.0
夜勤,06:20,7818,2316,0,2316,5502,5502,0.0
夜勤,1:20,6013,1963,0,1963,4050,4050,0.0
昼勤,9:20,4780,1509,0,1509,3271,3271,0.0
夜勤,6:20,3390,1085,0,1085,2305,2305,0.0
